"id","type","x","y","z","vx","vy","vz","fz","fy","fz","TIMESTEP"
4,1,0.00252223,0.00111527,-0.0220177,0,0,-1.358,-0.0821841,0,-0.0821841,19000
5,1,0.00497292,-8.94E-05,0.0554348,0,0,-0.701317,-0.0821841,0,-0.0821841,19000
1,1,-0.154853,0.0141558,-0.14685,-0.699212,0.0524896,-1.3454,-0.0821841,0,-0.0821841,20000
3,1,-0.0444035,0.00161403,-0.056297,-0.76646,0.0575379,0.392459,-0.0821841,0,-0.0821841,20000
4,1,0.00252223,0.00111527,-0.0511391,0,0,-1.5542,-0.0821841,0,-0.0821841,20000
2,1,-0.118653,0.0112613,-0.0591722,-0.787754,0.0591364,-0.553468,-0.0821841,0,-0.0821841,20000
5,1,0.00497292,-8.94E-05,0.0394469,0,0,-0.897517,-0.0821841,0,-0.0821841,20000
6,1,0.000251965,0.00477699,0.100276,0,0,-0.1239,-0.0821841,0,-0.0821841,20000
1,1,-0.168837,0.0152056,-0.17572,-0.699212,0.0524896,-1.5416,-0.0821841,0,-0.0821841,21000
4,1,0.00252223,0.00111527,-0.0841846,0,0,-1.7504,-0.0821841,0,-0.0821841,21000
2,1,-0.134408,0.0124441,-0.0722031,-0.787754,0.0591364,-0.749668,-0.0821841,0,-0.0821841,21000
3,1,-0.0597327,0.00276479,-0.0504093,-0.76646,0.0575379,0.196259,-0.0821841,0,-0.0821841,21000
5,1,0.00497292,-8.94E-05,0.0195351,0,0,-1.09372,-0.0821841,0,-0.0821841,21000
6,1,0.000251965,0.00477699,0.0958362,0,0,-0.3201,-0.0821841,0,-0.0821841,21000
1,1,-0.189284,0.0167405,-0.179328,-1.11841,0.0839586,0.116748,-0.0821841,0,-0.0821841,22000
2,1,-0.150163,0.0136268,-0.089158,-0.787754,0.0591364,-0.945868,-0.0821841,0,-0.0821841,22000
4,1,-0.00897414,0.0019783,-0.0781569,-0.723603,0.0543206,0.724655,-0.0821841,0,-0.0821841,22000
3,1,-0.0750619,0.00391555,-0.0484457,-0.76646,0.0575379,5.92E-05,-0.0821841,0,-0.0821841,22000
5,1,0.00497292,-8.94E-05,-0.00430076,0,0,-1.28992,-0.0821841,0,-0.0821841,22000
6,1,0.000251965,0.00477699,0.0874727,0,0,-0.5163,-0.0821841,0,-0.0821841,22000
1,1,-0.211652,0.0184197,-0.178954,-1.11841,0.0839586,-0.0794518,-0.0821841,0,-0.0821841,23000
2,1,-0.165918,0.0148095,-0.110037,-0.787754,0.0591364,-1.14207,-0.0821841,0,-0.0821841,23000
4,1,-0.0234462,0.00306472,-0.0656253,-0.723603,0.0543206,0.528455,-0.0821841,0,-0.0821841,23000
3,1,-0.0903911,0.0050663,-0.050406,-0.76646,0.0575379,-0.196141,-0.0821841,0,-0.0821841,23000
5,1,0.00497292,-8.94E-05,-0.0320606,0,0,-1.48612,-0.0821841,0,-0.0821841,23000
6,1,0.000251965,0.00477699,0.0751852,0,0,-0.7125,-0.0821841,0,-0.0821841,23000
1,1,-0.23402,0.0200989,-0.182505,-1.11841,0.0839586,-0.275652,-0.0821841,0,-0.0821841,24000
2,1,-0.181674,0.0159923,-0.13484,-0.787754,0.0591364,-1.33827,-0.0821841,0,-0.0821841,24000
5,1,0.00497292,-8.94E-05,-0.0637445,0,0,-1.68232,-0.0821841,0,-0.0821841,24000
3,1,-0.10572,0.00621706,-0.0562903,-0.76646,0.0575379,-0.392341,-0.0821841,0,-0.0821841,24000
4,1,-0.0379183,0.00415113,-0.0570177,-0.723603,0.0543206,0.332255,-0.0821841,0,-0.0821841,24000
6,1,0.000251965,0.00477699,0.0589737,0,0,-0.9087,-0.0821841,0,-0.0821841,24000
1,1,-0.256388,0.0217781,-0.18998,-1.11841,0.0839586,-0.471852,-0.0821841,0,-0.0821841,25000
2,1,-0.197429,0.017175,-0.163567,-0.787754,0.0591364,-1.53447,-0.0821841,0,-0.0821841,25000
5,1,0.00131523,0.000185218,-0.0852775,-0.73954,0.055517,0.850198,-0.0821841,0,-0.0821841,25000
3,1,-0.12105,0.00736782,-0.0660986,-0.76646,0.0575379,-0.588541,-0.0821841,0,-0.0821841,25000
4,1,-0.0523903,0.00523754,-0.0523341,-0.723603,0.0543206,0.136055,-0.0821841,0,-0.0821841,25000
6,1,0.000251965,0.00477699,0.0388382,0,0,-1.1049,-0.0821841,0,-0.0821841,25000
7,1,0.00230449,0.00163712,0.0962058,0,0,-0.104084,-0.0821841,0,-0.0821841,25000
1,1,-0.278757,0.0234572,-0.201378,-1.11841,0.0839586,-0.668052,-0.0821841,0,-0.0821841,26000
2,1,-0.213184,0.0183577,-0.196218,-0.787754,0.0591364,-1.73067,-0.0821841,0,-0.0821841,26000
3,1,-0.136379,0.00851858,-0.079831,-0.76646,0.0575379,-0.784741,-0.0821841,0,-0.0821841,26000
5,1,-0.0134756,0.00129556,-0.0702351,-0.73954,0.055517,0.653998,-0.0821841,0,-0.0821841,26000
4,1,-0.0668624,0.00632395,-0.0515745,-0.723603,0.0543206,-0.060145,-0.0821841,0,-0.0821841,26000
6,1,0.000251965,0.00477699,0.0147787,0,0,-1.3011,-0.0821841,0,-0.0821841,26000
7,1,0.00230449,0.00163712,0.0921626,0,0,-0.300284,-0.0821841,0,-0.0821841,26000
1,1,-0.301125,0.0251364,-0.216701,-1.11841,0.0839586,-0.864252,-0.0821841,0,-0.0821841,27000
2,1,-0.23539,0.0200248,-0.203406,-1.25878,0.0944959,0.171476,-0.0821841,0,-0.0821841,27000
3,1,-0.151708,0.00966934,-0.0974873,-0.76646,0.0575379,-0.980941,-0.0821841,0,-0.0821841,27000
4,1,-0.0813345,0.00741037,-0.0547389,-0.723603,0.0543206,-0.256345,-0.0821841,0,-0.0821841,27000
